ASSET - HOSTNAME,ASSET - IP_ADDRESS,VULNERABILITY - TITLE,VULNERABILITY - SEVERITY,VULNERABILITY - CVSS,VULNERABILITY - PUBLICATION_DATE
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:3979),Alto,7.8,8/20/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:3872),Alto,7.8,11/14/2019
WORKSTATION-5,172.18.0.5,Security Updates for Internet Explorer (November 2019),Alto,7.5,11/12/2019
SERVER-1,172.20.0.1,Security Updates for Internet Explorer (November 2019),Alto,7.5,11/12/2019
SERVER-2,172.20.0.2,Security Updates for Internet Explorer (November 2019),Alto,7.5,11/12/2019
SERVER-2,172.20.0.2,KB4525233: Windows 7 and Windows Server 2008 R2 November 2019 Security Update,Alto,8.8,11/12/2019
SERVER-1,172.20.0.1,KB4525233: Windows 7 and Windows Server 2008 R2 November 2019 Security Update,Alto,8.8,11/12/2019
WORKSTATION-5,172.18.0.5,KB4525233: Windows 7 and Windows Server 2008 R2 November 2019 Security Update,Alto,8.8,11/12/2019
WORKSTATION-6,172.18.0.6,KB4523205: Windows 10 Version 1809 and Windows Server 2019 November 2019 Security Update,Alto,7.8,11/12/2019
WORKSTATION-7,172.18.0.7,KB4523205: Windows 10 Version 1809 and Windows Server 2019 November 2019 Security Update,Alto,7.8,11/12/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : sudo (CESA-2019:3197),Alto,8.8,10/17/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : patch (CESA-2019:2964),Alto,7.8,7/26/2019
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 70.0 Multiple Vulnerabilities,Alto,8.8,6/27/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:3055),Alto,8.8,6/3/2019
WORKSTATION-5,172.18.0.5,Security Updates for Internet Explorer (October 2019),Alto,7.5,10/8/2019
SERVER-2,172.20.0.2,KB4520003: Windows 7 and Windows Server 2008 R2 October 2019 Security Update,Alto,7.8,10/8/2019
WORKSTATION-5,172.18.0.5,KB4520003: Windows 7 and Windows Server 2008 R2 October 2019 Security Update,Alto,7.8,10/8/2019
SERVER-1,172.20.0.1,KB4520003: Windows 7 and Windows Server 2008 R2 October 2019 Security Update,Alto,7.8,10/8/2019
SERVER-3,172.20.0.3,KB4519998: Windows 10 Version 1607 and Windows Server 2016 October 2019 Security Update,Alto,7.8,10/8/2019
WORKSTATION-7,172.18.0.7,KB4519338: Windows 10 Version 1809 and Windows Server 2019 October 2019 Security Update,Alto,7.8,10/8/2019
WORKSTATION-6,172.18.0.6,KB4519338: Windows 10 Version 1809 and Windows Server 2019 October 2019 Security Update,Alto,7.8,10/8/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:2829),Alto,7.8,9/17/2019
WORKSTATION-2,172.18.0.2,VMSA-2019-0013 : Command injection and information disclosure vulnerabilities,Alto,8.8,11/20/2017
WORKSTATION-1,172.18.0.1,VMSA-2019-0013 : Command injection and information disclosure vulnerabilities,Alto,8.8,11/20/2017
WORKSTATION-3,172.18.0.3,VMSA-2019-0013 : Command injection and information disclosure vulnerabilities,Alto,8.8,11/20/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:2600),Alto,8.3,9/3/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : httpd (CESA-2019:2343),Alto,7.5,4/8/2019
SERVER-3,172.20.0.3,"Windows 10, Server 2016 and Server 2019 September 2019 Security Update (CVE-2019-1367)",Alto,7.5,9/23/2019
WORKSTATION-5,172.18.0.5,Security Update for Internet Explorer (CVE-2019-1367),Alto,7.5,9/23/2019
WORKSTATION-3,172.18.0.3,VMSA-2019-0014 : Use-after-free vulnerability,Alto,8.8,10/10/2019
WORKSTATION-2,172.18.0.2,VMSA-2019-0014 : Use-after-free vulnerability,Alto,8.8,10/10/2019
WORKSTATION-1,172.18.0.1,VMSA-2019-0014 : Use-after-free vulnerability,Alto,8.8,10/10/2019
WORKSTATION-5,172.18.0.5,Security Updates for Internet Explorer (September 2019),Alto,7.5,9/10/2019
SERVER-3,172.20.0.3,KB4516044: Windows 10 Version 1607 and Windows Server 2016 September 2019 Security Update,Alto,8.8,9/10/2019
WORKSTATION-5,172.18.0.5,KB4516033: Windows 7 and Windows Server 2008 R2 September 2019 Security Update,Alto,8.8,9/10/2019
SERVER-1,172.20.0.1,KB4516033: Windows 7 and Windows Server 2008 R2 September 2019 Security Update,Alto,8.8,9/10/2019
WORKSTATION-7,172.18.0.7,KB4512578: Windows 10 Version 1809 and Windows Server 2019 September 2019 Security Update,Alto,8.8,9/10/2019
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 69.0,Alto,8.8,9/3/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : rsyslog (CESA-2019:2110),Alto,7.5,1/25/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : procps-ng (CESA-2019:2189),Alto,7,5/23/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : polkit (CESA-2019:2046),Alto,8.8,12/3/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : perl-Archive-Tar (CESA-2019:2097),Alto,7.5,6/7/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : patch (CESA-2019:2033),Alto,7.5,2/13/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : libtiff (CESA-2019:2053),Alto,8.8,4/19/2016
WORKSTATION-4,172.18.0.4,CentOS 7 : libjpeg-turbo (CESA-2019:2052),Alto,8.8,2/13/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : libcgroup (CESA-2019:2047),Alto,8.1,8/14/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : binutils (CESA-2019:2075),Alto,7.8,6/22/2018
WORKSTATION-8,172.18.0.8,Microsoft Defender Elevation of Privilege Vulnerability (CVE-2019-1161),Alto,7.1,8/13/2019
SERVER-3,172.20.0.3,Microsoft Defender Elevation of Privilege Vulnerability (CVE-2019-1161),Alto,7.1,8/13/2019
WORKSTATION-5,172.18.0.5,Security Updates for Internet Explorer (August 2019),Alto,7.5,8/13/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:1873),Alto,7,12/18/2018
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 68.0,Alto,8.3,7/9/2019
SERVER-2,172.20.0.2,Security Updates for Microsoft .NET Framework (July 2019),Alto,8.8,7/9/2019
WORKSTATION-7,172.18.0.7,Security Updates for Microsoft .NET Framework (July 2019),Alto,8.8,7/9/2019
WORKSTATION-5,172.18.0.5,Security Updates for Internet Explorer (July 2019),Alto,7.5,7/9/2019
WORKSTATION-7,172.18.0.7,KB4507469: Windows 10 Version 1809 and Windows Server 2019 July 2019 Security Update (SWAPGS),Alto,8.8,7/9/2019
SERVER-1,172.20.0.1,KB4507456: Windows 7 and Windows Server 2008 R2 July 2019 Security Update (SWAPGS),Alto,8.8,7/9/2019
WORKSTATION-5,172.18.0.5,KB4507456: Windows 7 and Windows Server 2008 R2 July 2019 Security Update (SWAPGS),Alto,8.8,7/9/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : vim (CESA-2019:1619),Alto,8.6,6/5/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:1481) (SACK Panic) (SACK Slowness),Alto,7.5,6/19/2019
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 67.0.3,Alto,8.8,6/18/2019
WORKSTATION-8,172.18.0.8,VMware Tools 10.2.x / 10.3.x < 10.3.10 Information Disclosure / Denial of Service Vulnerability (VMSA-2019-0009),Alto,7.1,6/6/2019
WORKSTATION-5,172.18.0.5,Security Updates for Internet Explorer (June 2019),Alto,7.5,6/11/2019
WORKSTATION-7,172.18.0.7,KB4503327: Windows 10 Version 1809 and Windows Server 2019 June 2019 Security Update,Alto,8.8,6/11/2019
WORKSTATION-5,172.18.0.5,KB4503269: Windows 7 and Windows Server 2008 R2 June 2019 Security Update,Alto,8.8,6/11/2019
WORKSTATION-7,172.18.0.7,Security Updates for Microsoft .NET Framework (May 2019),Alto,7.5,5/14/2019
WORKSTATION-6,172.18.0.6,KB4494441: Windows 10 Version 1809 and Windows Server 2019 May 2019 Security Update (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout),Alto,8.8,5/14/2019
WORKSTATION-7,172.18.0.7,KB4494441: Windows 10 Version 1809 and Windows Server 2019 May 2019 Security Update (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout),Alto,8.8,5/14/2019
WORKSTATION-8,172.18.0.8,KB4494440: Windows 10 Version 1607 and Windows Server 2016 May 2019 Security Update (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout),Alto,8.8,5/14/2019
SERVER-3,172.20.0.3,KB4494440: Windows 10 Version 1607 and Windows Server 2016 May 2019 Security Update (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout),Alto,8.8,5/14/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:0818),Alto,8.1,2/15/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : java-1.8.0-openjdk (CESA-2019:0775),Alto,8.1,4/23/2019
WORKSTATION-7,172.18.0.7,KB4493470: Windows 10 Version 1607 and Windows Server 2016 April 2019 Security Update,Alto,8.8,4/9/2019
WORKSTATION-9,172.18.0.9,Apache 2.4.x < 2.4.39 Multiple Vulnerabilities,Alto,7.8,4/1/2019
WORKSTATION-1,172.18.0.1,"VMSA-2019-0005 : VMware ESXi, Workstation and Fusion updates address multiple security issues",Alto,8.8,4/1/2019
WORKSTATION-2,172.18.0.2,"VMSA-2019-0005 : VMware ESXi, Workstation and Fusion updates address multiple security issues",Alto,8.8,4/1/2019
WORKSTATION-3,172.18.0.3,"VMSA-2019-0005 : VMware ESXi, Workstation and Fusion updates address multiple security issues",Alto,8.8,4/1/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : libssh2 (CESA-2019:0679),Alto,8.8,3/21/2019
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 66.0.1,Alto,8.8,3/22/2019
WORKSTATION-10,172.18.0.10,Elasticsearch ESA-2019-04,Alto,8.1,2/19/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:0512),Alto,7.8,10/3/2018
SERVER-4,172.20.0.4,RARLAB WinRAR < 5.70 Beta 1 Multiple Vulnerabilities,Alto,7.8,2/20/2019
WORKSTATION-5,172.18.0.5,RARLAB WinRAR < 5.70 Beta 1 Multiple Vulnerabilities,Alto,7.8,2/20/2019
SERVER-1,172.20.0.1,RARLAB WinRAR < 5.70 Beta 1 Multiple Vulnerabilities,Alto,7.8,2/20/2019
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 65.0.1,Alto,8.8,2/12/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:0163),Alto,8.1,10/22/2018
WORKSTATION-9,172.18.0.9,Apache 2.4.x < 2.4.38 Multiple Vulnerabilities,Alto,7.5,1/22/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2018:3651),Alto,7,9/25/2018
WORKSTATION-2,172.18.0.2,"VMSA-2018-0027 : VMware ESXi, Workstation, and Fusion updates address uninitialized stack memory usage",Alto,8.8,12/4/2018
WORKSTATION-3,172.18.0.3,"VMSA-2018-0027 : VMware ESXi, Workstation, and Fusion updates address uninitialized stack memory usage",Alto,8.8,12/4/2018
WORKSTATION-1,172.18.0.1,"VMSA-2018-0027 : VMware ESXi, Workstation, and Fusion updates address uninitialized stack memory usage",Alto,8.8,12/4/2018
WORKSTATION-3,172.18.0.3,ESXi 6.0 / 6.5 / 6.7 Out-of-Bounds Read Vulnerability (VMSA-2018-0026) (Remote Check),Alto,8.8,10/16/2018
WORKSTATION-2,172.18.0.2,ESXi 6.0 / 6.5 / 6.7 Out-of-Bounds Read Vulnerability (VMSA-2018-0026) (Remote Check),Alto,8.8,10/16/2018
