0
Linha: 109 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 110 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 111 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 133 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 134 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 135 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 138 | HOST: WORKSTATION-6 | IP: 172.18.0.6 - Excecao:  Não inserido (Vulnerabilidade deve ser informada por completo)
Linha: 138 | HOST: WORKSTATION-6 | IP: 172.18.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 143 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 144 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 145 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 146 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 152 | HOST: SERVER-4 | IP: 172.20.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 153 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 156 | HOST: WORKSTATION-4 | IP: 172.18.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 157 | HOST: SERVER-7 | IP: 172.20.0.7 - Excecao:  Não inserido (Data deve ser informada)
Linha: 158 | HOST: SERVER-8 | IP: 172.20.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 159 | HOST: SERVER-2 | IP: 172.20.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 160 | HOST: SERVER-4 | IP: 172.20.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 161 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 162 | HOST: WORKSTATION-5 | IP: 172.18.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 187 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 188 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 189 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 194 | HOST: WORKSTATION-19 | IP: 172.18.0.19 - Excecao:  Não inserido (Data deve ser informada)
Linha: 210 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 211 | HOST: WORKSTATION-12 | IP: 172.18.0.12 - Excecao:  Não inserido (Data deve ser informada)
Linha: 213 | HOST: SERVER-8 | IP: 172.20.0.8 - Excecao:  Não inserido (Vulnerabilidade deve ser informada por completo)
Linha: 213 | HOST: SERVER-8 | IP: 172.20.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 214 | HOST: SERVER-2 | IP: 172.20.0.2 - Excecao:  Não inserido (Vulnerabilidade deve ser informada por completo)
Linha: 214 | HOST: SERVER-2 | IP: 172.20.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 215 | HOST: SERVER-4 | IP: 172.20.0.4 - Excecao:  Não inserido (Vulnerabilidade deve ser informada por completo)
Linha: 215 | HOST: SERVER-4 | IP: 172.20.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 216 | HOST: WORKSTATION-5 | IP: 172.18.0.5 - Excecao:  Não inserido (Vulnerabilidade deve ser informada por completo)
Linha: 216 | HOST: WORKSTATION-5 | IP: 172.18.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 277 | HOST: WORKSTATION-11 | IP: 172.18.0.11 - Excecao:  Não inserido (Data deve ser informada)
Linha: 293 | HOST: SERVER-4 | IP: 172.20.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 294 | HOST: WORKSTATION-5 | IP: 172.18.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 297 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 305 | HOST: WORKSTATION-16 | IP: 172.18.0.16 - Excecao:  Não inserido (Data deve ser informada)
Linha: 364 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 365 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 366 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 384 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 385 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 386 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 387 | HOST: WORKSTATION-12 | IP: 172.18.0.12 - Excecao:  Não inserido (Data deve ser informada)
Linha: 388 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 389 | HOST: SERVER-3 | IP: 172.20.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 390 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 391 | HOST: WORKSTATION-9 | IP: 172.18.0.9 - Excecao:  Não inserido (Data deve ser informada)
Linha: 392 | HOST: SERVER-2 | IP: 172.20.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 393 | HOST: SERVER-4 | IP: 172.20.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 394 | HOST: WORKSTATION-13 | IP: 172.18.0.13 - Excecao:  Não inserido (Data deve ser informada)
Linha: 395 | HOST: SERVER-5 | IP: 172.20.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 396 | HOST: WORKSTATION-14 | IP: 172.18.0.14 - Excecao:  Não inserido (Data deve ser informada)
Linha: 397 | HOST: SERVER-6 | IP: 172.20.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 398 | HOST: SERVER-7 | IP: 172.20.0.7 - Excecao:  Não inserido (Data deve ser informada)
Linha: 399 | HOST: SERVER-8 | IP: 172.20.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 400 | HOST: WORKSTATION-4 | IP: 172.18.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 401 | HOST: WORKSTATION-8 | IP: 172.18.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 402 | HOST: WORKSTATION-6 | IP: 172.18.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 403 | HOST: WORKSTATION-5 | IP: 172.18.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 404 | HOST: WORKSTATION-15 | IP: 172.18.0.15 - Excecao:  Não inserido (Data deve ser informada)
Linha: 405 | HOST: WORKSTATION-7 | IP: 172.18.0.7 - Excecao:  Não inserido (Data deve ser informada)
Linha: 406 | HOST: SERVER-9 | IP: 172.20.0.9 - Excecao:  Não inserido (Data deve ser informada)
Linha: 407 | HOST: WORKSTATION-16 | IP: 172.18.0.16 - Excecao:  Não inserido (Data deve ser informada)
Linha: 408 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 409 | HOST: WORKSTATION-17 | IP: 172.18.0.17 - Excecao:  Não inserido (Data deve ser informada)
Linha: 410 | HOST: SERVER-10 | IP: 172.20.0.10 - Excecao:  Não inserido (Data deve ser informada)
Linha: 411 | HOST: WORKSTATION-18 | IP: 172.18.0.18 - Excecao:  Não inserido (Data deve ser informada)
Linha: 412 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 414 | HOST: WORKSTATION-18 | IP: 172.18.0.18 - Excecao:  Não inserido (Data deve ser informada)
Linha: 415 | HOST: WORKSTATION-11 | IP: 172.18.0.11 - Excecao:  Não inserido (Data deve ser informada)
Linha: 417 | HOST: SERVER-9 | IP: 172.20.0.9 - Excecao:  Não inserido (Data deve ser informada)
Linha: 418 | HOST: SERVER-3 | IP: 172.20.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 421 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 422 | HOST: WORKSTATION-12 | IP: 172.18.0.12 - Excecao:  Não inserido (Data deve ser informada)
Linha: 423 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 424 | HOST: WORKSTATION-19 | IP: 172.18.0.19 - Excecao:  Não inserido (Data deve ser informada)
Linha: 425 | HOST: WORKSTATION-13 | IP: 172.18.0.13 - Excecao:  Não inserido (Data deve ser informada)
Linha: 426 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 427 | HOST: SERVER-4 | IP: 172.20.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 428 | HOST: SERVER-6 | IP: 172.20.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 429 | HOST: SERVER-8 | IP: 172.20.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 430 | HOST: WORKSTATION-5 | IP: 172.18.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 431 | HOST: WORKSTATION-14 | IP: 172.18.0.14 - Excecao:  Não inserido (Data deve ser informada)
Linha: 432 | HOST: SERVER-6 | IP: 172.20.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 433 | HOST: WORKSTATION-8 | IP: 172.18.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 434 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 435 | HOST: SERVER-5 | IP: 172.20.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 436 | HOST: WORKSTATION-12 | IP: 172.18.0.12 - Excecao:  Não inserido (Data deve ser informada)
Linha: 437 | HOST: SERVER-5 | IP: 172.20.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 450 | HOST: WORKSTATION-19 | IP: 172.18.0.19 - Excecao:  Não inserido (Data deve ser informada)
Linha: 469 | HOST: SERVER-7 | IP: 172.20.0.7 - Excecao:  Não inserido (Data deve ser informada)
Linha: 472 | HOST: SERVER-6 | IP: 172.20.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 473 | HOST: WORKSTATION-5 | IP: 172.18.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 474 | HOST: SERVER-2 | IP: 172.20.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 475 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
